rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country
19,58800,Fashion & Retail,Jim Walton,75,United States,Bentonville,Walmart,Fashion & Retail,United States,"Arvest Bank Group, Inc.",False,D,M,1948-06-07 00:00:00,Walton,Jim,Chairman and CEO,4/4/2023 5:01,Arkansas,South,1948.0,6.0,7.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
20,57600,Fashion & Retail,Rob Walton & family,79,United States,Bentonville,Walmart,Fashion & Retail,United States,Walmart,False,D,M,1944-10-27 00:00:00,Walton,Rob,Director,4/4/2023 5:01,Arkansas,South,1944.0,10.0,27.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
21,56700,Fashion & Retail,Alice Walton,74,United States,Fort Worth,Walmart,Fashion & Retail,United States,Crystal Bridges Museum of American Art,False,D,F,1949-10-07 00:00:00,Walton,Alice,Philanthropist,4/4/2023 5:01,Texas,South,1949.0,10.0,7.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
22,54400,Media & Entertainment,David Thomson & family,66,Canada,Toronto,Media,Media & Entertainment,Canada,Thomson Reuters Corporation,False,U,M,1957-06-12 00:00:00,Thomson,David,Chairman,4/4/2023 5:01,,,1957.0,6.0,12.0,116.76,1.9,-2147483648,69,101,81.9,12.8,25,36991981
23,50100,Technology,Michael Dell,58,United States,Austin,Dell Technologies,Technology,United States,Dell Inc.,True,D,M,1965-02-23 00:00:00,Dell,Michael,Chairman and CEO,4/4/2023 5:01,Texas,South,1965.0,2.0,23.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
24,47200,Diversified,Gautam Adani,61,India,Ahmedabad,"Infrastructure, commodities",Diversified,India,,True,D,M,1962-06-24 00:00:00,Adani,Gautam,,4/4/2023 5:01,,,1962.0,6.0,24.0,180.44,7.7,-2147483648,29,113,69.4,11.2,50,1366417754
25,45100,Fashion & Retail,Phil Knight & family,85,United States,Hillsboro,Nike,Fashion & Retail,United States,Nike,True,D,M,1938-02-24 00:00:00,Knight,Phil,Chairman,4/4/2023 5:01,Oregon,West,1938.0,2.0,24.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
26,45000,Technology,Zhang Yiming,39,China,Beijing,TikTok,Technology,China,ByteDance,True,D,M,1984-01-01 00:00:00,Zhang,Yiming,Founder,4/4/2023 5:01,,,1984.0,1.0,1.0,125.08,2.9,-2147483648,51,101,77.0,9.4,60,1397715000
27,42900,Fashion & Retail,Dieter Schwarz,84,Germany,Neckarsulm,Retail,Fashion & Retail,Germany,,False,D,M,1939-09-24 00:00:00,Schwarz,Dieter,,4/4/2023 5:01,,,1939.0,9.0,24.0,112.85,1.4,-2147483648,71,104,80.9,11.5,49,83132799
28,40100,Fashion & Retail,François Pinault & family,87,France,Paris,Luxury goods,Fashion & Retail,France,,True,D,M,1936-08-21 00:00:00,Pinault,François,,4/4/2023 5:01,,,1936.0,8.0,21.0,110.05,1.1,-2147483648,66,103,82.5,24.2,61,67059887
29,39100,Logistics,Klaus-Michael Kuehne,86,Switzerland,Schindellegi,Shipping,Logistics,Germany,,False,U,M,1937-06-02 00:00:00,Kuehne,Klaus-Michael,,4/4/2023 5:01,,,1937.0,6.0,2.0,99.55,0.4,-2147483648,60,106,83.6,10.1,29,8574832
30,38900,Food & Beverage,Giovanni Ferrero,59,Belgium,Brussels,"Nutella, chocolates",Food & Beverage,Italy,,False,U,M,1964-09-21 00:00:00,Ferrero,Giovanni,,4/4/2023 5:01,,,1964.0,9.0,21.0,117.11,1.4,-2147483648,80,104,81.6,24.0,56,11484055
31,38300,Food & Beverage,Jacqueline Mars,84,United States,The Plains,"Candy, pet food",Food & Beverage,United States,,False,U,F,1939-10-10 00:00:00,Mars,Jacqueline,,4/4/2023 5:01,Virginia,South,1939.0,10.0,10.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
31,38300,Food & Beverage,John Mars,88,United States,Jackson,"Candy, pet food",Food & Beverage,United States,,False,U,M,1935-10-15 00:00:00,Mars,John,,4/4/2023 5:01,Wyoming,South,1935.0,10.0,15.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
33,38000,Diversified,Li Ka-shing,95,Hong Kong,,Diversified,Diversified,Hong Kong,CK Hutchison Holdings,True,U,M,1928-06-13 00:00:00,Li,Ka-shing,Senior Advisor,4/4/2023 5:01,,,1928.0,6.0,13.0,,,-2147483648,68,103,,,44,507454841
34,35300,Technology,Ma Huateng,52,China,Shenzhen,Internet media,Technology,China,Tencent Holdings,True,D,M,1971-10-29 00:00:00,Ma,Huateng,Chairman and CEO,4/4/2023 5:01,,,1971.0,10.0,29.0,125.08,2.9,-2147483648,51,101,77.0,9.4,60,1397715000
35,35000,Gambling & Casinos,Miriam Adelson & family,78,United States,Las Vegas,Casinos,Gambling & Casinos,United States,,False,U,F,1945-10-10 00:00:00,Adelson,Miriam,,4/4/2023 5:01,Nevada,West,1945.0,10.0,10.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
35,35000,Finance & Investments,Ken Griffin,55,United States,Miami,Hedge funds,Finance & Investments,United States,Citadel LLC,True,U,M,1968-10-15 00:00:00,Griffin,Ken,Founder & CEO,4/4/2023 5:01,Florida,South,1968.0,10.0,15.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
37,34700,Food & Beverage,Mark Mateschitz,31,Austria,Salzburg,Red Bull,Food & Beverage,Austria,,False,N,M,1992-05-07 00:00:00,Mateschitz,Mark,,4/4/2023 5:01,,,1992.0,5.0,7.0,118.06,1.5,-2147483648,86,104,81.6,25.4,52,8877067
38,33400,Automotive,Robin Zeng,54,China,Ningde,Batteries,Automotive,Hong Kong,,True,D,M,1969-01-01 00:00:00,Zeng,Robin,,4/4/2023 5:01,,,1969.0,1.0,1.0,125.08,2.9,-2147483648,51,101,77.0,9.4,60,1397715000
39,32600,Fashion & Retail,Tadashi Yanai & family,74,Japan,Tokyo,Fashion retail,Fashion & Retail,Japan,,True,U,M,1949-02-07 00:00:00,Yanai,Tadashi,,4/4/2023 5:01,,,1949.0,2.0,7.0,105.48,0.5,-2147483648,64,99,84.2,11.9,47,126226568
40,32100,Diversified,Len Blavatnik,66,United Kingdom,London,"Music, chemicals",Diversified,United States,,True,D,M,1957-06-01 00:00:00,Blavatnik,Len,,4/4/2023 5:01,,,1957.0,6.0,1.0,119.62,1.7,-2147483648,60,102,81.3,25.5,31,66834405
41,31600,Fashion & Retail,Alain Wertheimer,75,United States,New York,Chanel,Fashion & Retail,France,,False,U,M,1948-08-28 00:00:00,Wertheimer,Alain,,4/4/2023 5:01,New York,Northeast,1948.0,8.0,28.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
41,31600,Fashion & Retail,Gerard Wertheimer,72,United States,New York,Chanel,Fashion & Retail,France,,False,U,M,1951-01-09 00:00:00,Wertheimer,Gerard,,4/4/2023 5:01,New York,Northeast,1951.0,1.0,9.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
43,31200,Logistics,Gianluigi Aponte,83,Switzerland,Geneva,Shipping,Logistics,Switzerland,,True,Split Family Fortune,M,1940-06-27 00:00:00,Aponte,Gianluigi,,4/4/2023 5:01,,,1940.0,6.0,27.0,99.55,0.4,-2147483648,60,106,83.6,10.1,29,8574832
43,31200,Logistics,Rafaela Aponte-Diamant,78,Switzerland,Geneva,Shipping,Logistics,Switzerland,,True,Split Family Fortune,F,1945-03-26 00:00:00,Aponte-Diamant,Rafaela,,4/4/2023 5:01,,,1945.0,3.0,26.0,99.55,0.4,-2147483648,60,106,83.6,10.1,29,8574832
45,30200,Technology,Colin Zheng Huang,43,China,Shanghai,E-commerce,Technology,China,,True,U,M,1980-02-02 00:00:00,Huang,Colin Zheng,,4/4/2023 5:01,,,1980.0,2.0,2.0,125.08,2.9,-2147483648,51,101,77.0,9.4,60,1397715000
46,29700,Manufacturing,Reinhold Wuerth & family,88,Germany,Kuenzelsau,Fasteners,Manufacturing,Germany,,True,U,M,1935-04-20 00:00:00,Wuerth,Reinhold,,4/4/2023 5:01,,,1935.0,4.0,20.0,112.85,1.4,-2147483648,71,104,80.9,11.5,49,83132799
47,29500,Real Estate,Lee Shau Kee,95,Hong Kong,Hong Kong,Real estate,Real Estate,Hong Kong,,True,D,M,1928-01-29 00:00:00,Lee,Shau Kee,,4/4/2023 5:01,,,1928.0,1.0,29.0,,,-2147483648,68,103,,,44,507454841
48,28500,Finance & Investments,Jeff Yass,65,United States,Haverford,"Trading, investments",Finance & Investments,United States,,True,U,M,1958-07-17 00:00:00,Yass,Jeff,,4/4/2023 5:01,Pennsylvania,Northeast,1958.0,7.0,17.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
49,28100,Finance & Investments,Jim Simons,85,United States,East Setauket,Hedge funds,Finance & Investments,United States,Renaissance Technologies Corp.,True,D,M,1938-04-25 00:00:00,Simons,Jim,Founder,4/4/2023 5:01,New York,Northeast,1938.0,4.0,25.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
50,27800,Finance & Investments,Stephen Schwarzman,76,United States,New York,Investments,Finance & Investments,United States,Blackstone Group,True,D,M,1947-02-14 00:00:00,Schwarzman,Stephen,Chairman and CEO,4/4/2023 5:01,New York,Northeast,1947.0,2.0,14.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
51,27400,Automotive,Susanne Klatten,61,Germany,Bad Homburg,"BMW, pharmaceuticals",Automotive,Germany,,False,U,F,1962-04-28 00:00:00,Klatten,Susanne,,4/4/2023 5:01,,,1962.0,4.0,28.0,112.85,1.4,-2147483648,71,104,80.9,11.5,49,83132799
52,27000,Metals & Mining,Gina Rinehart,69,Australia,Perth,Mining,Metals & Mining,Australia,Hancock Prospecting,False,D,F,1954-02-09 00:00:00,Rinehart,Gina,Executive Chairman,4/4/2023 5:01,,,1954.0,2.0,9.0,119.8,1.6,-2147483648,114,101,82.7,23.0,48,25766605
53,26700,Technology,William Ding,52,China,Hangzhou,Online games,Technology,China,,True,U,M,1971-10-01 00:00:00,Ding,William,,4/4/2023 5:01,,,1971.0,10.0,1.0,125.08,2.9,-2147483648,51,101,77.0,9.4,60,1397715000
54,26600,Metals & Mining,Germán Larrea Mota Velasco & family,70,Mexico,Mexico City,Mining,Metals & Mining,Mexico,,False,D,M,1953-10-26 00:00:00,Larrea Mota Velasco,Germán,,4/4/2023 5:01,,,1953.0,10.0,26.0,141.54,3.6,-2147483648,41,106,75.0,13.1,56,126014024
55,25600,Technology,Shiv Nadar,78,India,Delhi,software services,Technology,India,,True,D,M,1945-07-18 00:00:00,Nadar,Shiv,,4/4/2023 5:01,,,1945.0,7.0,18.0,180.44,7.7,-2147483648,29,113,69.4,11.2,50,1366417754
56,25500,Energy,Low Tuck Kwong,75,Indonesia,Jakarta,Coal,Energy,Indonesia,,True,U,M,1948-04-17 00:00:00,Low Tuck,Kwong,,4/4/2023 5:01,,,1948.0,4.0,17.0,151.18,3.0,-2147483648,37,107,71.5,10.2,31,270203917
57,25300,Finance & Investments,Thomas Peterffy,79,United States,Palm Beach,Discount brokerage,Finance & Investments,United States,,True,U,M,1944-09-30 00:00:00,Peterffy,Thomas,,4/4/2023 5:01,Florida,South,1944.0,9.0,30.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
58,25200,Metals & Mining,Andrey Melnichenko & family,51,United Arab Emirates,Ras Al Khaimah,"Fertilizers, coal",Metals & Mining,Russia,,True,U,M,1972-03-08 00:00:00,Melnichenko,Andrey,,4/4/2023 5:01,,,1972.0,3.0,8.0,114.52,-1.9,-2147483648,37,109,77.8,0.1,16,9770529
59,24600,Automotive,Stefan Quandt,57,Germany,Frankfurt,BMW,Automotive,Germany,,False,U,M,1966-05-09 00:00:00,Quandt,Stefan,,4/4/2023 5:01,,,1966.0,5.0,9.0,112.85,1.4,-2147483648,71,104,80.9,11.5,49,83132799
60,24400,Technology,MacKenzie Scott,53,United States,Seattle,Amazon,Technology,United States,,False,D,F,1970-04-07 00:00:00,Scott,MacKenzie,Philanthropist,4/4/2023 5:01,Washington,West,1970.0,4.0,7.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
61,24200,Finance & Investments,R. Budi Hartono,82,Indonesia,Kudus,"Banking, tobacco",Finance & Investments,Indonesia,,False,U,M,1941-01-01 00:00:00,Hartono,R. Budi,,4/4/2023 5:01,,,1941.0,1.0,1.0,151.18,3.0,-2147483648,37,107,71.5,10.2,31,270203917
62,23700,Metals & Mining,Vladimir Potanin,62,Russia,Moscow,Metals,Metals & Mining,Russia,,True,U,M,1961-01-03 00:00:00,Potanin,Vladimir,,4/4/2023 5:01,,,1961.0,1.0,3.0,180.75,4.5,-2147483648,82,103,72.7,11.4,47,144373535
63,23500,Technology,Jack Ma,59,China,Hangzhou,E-commerce,Technology,China,,True,U,M,1964-09-10 00:00:00,Ma,Jack,,4/4/2023 5:01,,,1964.0,9.0,10.0,125.08,2.9,-2147483648,51,101,77.0,9.4,60,1397715000
64,23400,Manufacturing,He Xiangjian & family,81,China,Foshan,Home appliances,Manufacturing,China,,True,D,M,1942-08-11 00:00:00,He,Xiangjian,,4/4/2023 5:01,,,1942.0,8.0,11.0,125.08,2.9,-2147483648,51,101,77.0,9.4,60,1397715000
65,23100,Metals & Mining,Iris Fontbona & family,80,Chile,Santiago,Mining,Metals & Mining,Chile,,False,U,F,1943-01-01 00:00:00,Fontbona,Iris,,4/4/2023 5:01,,,1943.0,1.0,1.0,131.91,2.6,-2147483648,89,102,80.0,18.2,34,18952038
65,23100,Manufacturing,Michael Hartono,84,Indonesia,Kudus,"Banking, tobacco",Manufacturing,Indonesia,,False,U,M,1939-10-02 00:00:00,Hartono,Michael,,4/4/2023 5:01,,,1939.0,10.0,2.0,151.18,3.0,-2147483648,37,107,71.5,10.2,31,270203917
67,22900,Manufacturing,James Ratcliffe,70,United Kingdom,London,Chemicals,Manufacturing,United Kingdom,,True,U,M,1953-01-01 00:00:00,Ratcliffe,James,,4/4/2023 5:01,,,1953.0,1.0,1.0,119.62,1.7,-2147483648,60,102,81.3,25.5,31,66834405
68,22600,Healthcare,Cyrus Poonawalla,82,India,Pune,Vaccines,Healthcare,India,,False,D,M,1941-05-11 00:00:00,Poonawalla,Cyrus,,4/4/2023 5:01,,,1941.0,5.0,11.0,180.44,7.7,-2147483648,29,113,69.4,11.2,50,1366417754
69,22400,Telecom,Masayoshi Son,66,Japan,Tokyo,"Internet, telecom",Telecom,Japan,SoftBank Group Corp.,True,U,M,1957-08-11 00:00:00,Son,Masayoshi,CEO,4/4/2023 5:01,,,1957.0,8.0,11.0,105.48,0.5,-2147483648,64,99,84.2,11.9,47,126226568
70,22100,Metals & Mining,Vladimir Lisin,67,Russia,Moscow,"Steel, transport",Metals & Mining,Russia,,True,U,M,1956-05-07 00:00:00,Lisin,Vladimir,,4/4/2023 5:01,,,1956.0,5.0,7.0,180.75,4.5,-2147483648,82,103,72.7,11.4,47,144373535
71,22000,Food & Beverage,Emmanuel Besnier,53,France,Laval,Cheese,Food & Beverage,France,,False,D,M,1970-09-18 00:00:00,Besnier,Emmanuel,,4/4/2023 5:01,,,1970.0,9.0,18.0,110.05,1.1,-2147483648,66,103,82.5,24.2,61,67059887
72,21600,Finance & Investments,Abigail Johnson,62,United States,Milton,Fidelity,Finance & Investments,United States,Fidelity Investments,False,U,F,1961-12-19 00:00:00,Johnson,Abigail,CEO,4/4/2023 5:01,Massachusetts,Northeast,1961.0,12.0,19.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
72,21600,Energy,Leonid Mikhelson & family,68,Russia,Moscow,"Gas, chemicals",Energy,Russia,,True,U,M,1955-08-11 00:00:00,Mikhelson,Leonid,,4/4/2023 5:01,,,1955.0,8.0,11.0,180.75,4.5,-2147483648,82,103,72.7,11.4,47,144373535
74,21200,Fashion & Retail,Lukas Walton,37,United States,Chicago,Walmart,Fashion & Retail,United States,,False,U,M,1986-09-19 00:00:00,Walton,Lukas,,4/4/2023 5:01,Illinois,Midwest,1986.0,9.0,19.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
74,21200,Service,Wang Wei,53,China,Shenzhen,Package delivery,Service,China,,True,D,M,1970-10-01 00:00:00,Wang,Wei,,4/4/2023 5:01,,,1970.0,10.0,1.0,125.08,2.9,-2147483648,51,101,77.0,9.4,60,1397715000
76,21100,Technology,Jensen Huang,60,United States,Los Altos,Semiconductors,Technology,United States,Nvidia,True,U,M,1963-02-17 00:00:00,Huang,Jensen,CEO & President,4/4/2023 5:01,California,West,1963.0,2.0,17.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
77,21000,Fashion & Retail,Leonard Lauder,90,United States,New York,Estee Lauder,Fashion & Retail,United States,The Estée Lauder Companies,False,D,M,1933-03-19 00:00:00,Lauder,Leonard,Chairman Emeritus,4/4/2023 5:01,New York,Northeast,1933.0,3.0,19.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
77,21000,Manufacturing,Takemitsu Takizaki,78,Japan,Osaka,Sensors,Manufacturing,Japan,,True,D,M,1945-06-10 00:00:00,Takizaki,Takemitsu,,4/4/2023 5:01,,,1945.0,6.0,10.0,105.48,0.5,-2147483648,64,99,84.2,11.9,47,126226568
79,20900,Metals & Mining,Alexey Mordashov & family,58,Russia,Moscow,"Steel, investments",Metals & Mining,Russia,,True,U,M,1965-09-26 00:00:00,Mordashov,Alexey,,4/4/2023 5:01,,,1965.0,9.0,26.0,180.75,4.5,-2147483648,82,103,72.7,11.4,47,144373535
80,20500,Energy,Vagit Alekperov,73,Russia,Moscow,Oil,Energy,Russia,,True,U,M,1950-09-01 00:00:00,Alekperov,Vagit,,4/4/2023 5:01,,,1950.0,9.0,1.0,180.75,4.5,-2147483648,82,103,72.7,11.4,47,144373535
81,20200,Healthcare,"Thomas Frist, Jr. & family",85,United States,Nashville,Hospitals,Healthcare,United States,,True,D,M,1938-08-12 00:00:00,Frist,Thomas,,4/4/2023 5:01,Tennessee,South,1938.0,8.0,12.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
82,19600,Metals & Mining,Andrew Forrest,62,Australia,Perth,Mining,Metals & Mining,Australia,,True,U,M,1961-11-18 00:00:00,Forrest,Andrew,,4/4/2023 5:01,,,1961.0,11.0,18.0,119.8,1.6,-2147483648,114,101,82.7,23.0,48,25766605
83,19100,Finance & Investments,Ray Dalio,74,United States,Greenwich,Hedge funds,Finance & Investments,United States,Bridgewater Associates,True,D,M,1949-08-08 00:00:00,Dalio,Ray,Founder & Co-Chief Investment Officer,4/4/2023 5:01,Connecticut,Northeast,1949.0,8.0,8.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
84,19000,Automotive,Eric Li,60,China,Hangzhou,Automobiles,Automotive,China,,True,D,M,1963-06-01 00:00:00,Li,Eric,,4/4/2023 5:01,,,1963.0,6.0,1.0,125.08,2.9,-2147483648,51,101,77.0,9.4,60,1397715000
84,19000,Metals & Mining,Wang Wenyin,55,China,Shenzhen,"Mining, copper products",Metals & Mining,China,,True,U,M,1968-03-01 00:00:00,Wang,Wenyin,,4/4/2023 5:01,,,1968.0,3.0,1.0,125.08,2.9,-2147483648,51,101,77.0,9.4,60,1397715000
86,18900,Diversified,Eyal Ofer,73,Monaco,Monte Carlo,"Real estate, shipping",Diversified,Israel,,False,U,M,1950-06-02 00:00:00,Ofer,Eyal,,4/4/2023 5:01,,,1950.0,6.0,2.0,,,-2147483648,68,103,,,44,38964
86,18900,Food & Beverage,Qin Yinglin,58,China,Nanyang,Pig breeding,Food & Beverage,China,,True,D,M,1965-04-17 00:00:00,Qin,Yinglin,,4/4/2023 5:01,,,1965.0,4.0,17.0,125.08,2.9,-2147483648,51,101,77.0,9.4,60,1397715000
88,18700,Automotive,Wang Chuanfu,57,China,Shenzhen,"Batteries, automobiles",Automotive,China,,True,D,M,1966-02-15 00:00:00,Wang,Chuanfu,,4/4/2023 5:01,,,1966.0,2.0,15.0,125.08,2.9,-2147483648,51,101,77.0,9.4,60,1397715000
89,18500,Energy,Harold Hamm & family,78,United States,Oklahoma City,Oil & gas,Energy,United States,Continental Resources Inc. ,True,U,M,1945-12-11 00:00:00,Hamm,Harold,Chairman and CEO,4/4/2023 5:01,Oklahoma,South,1945.0,12.0,11.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
89,18500,Finance & Investments,David Tepper,66,United States,Palm Beach,Hedge funds,Finance & Investments,United States,Appaloosa Management,True,U,M,1957-09-11 00:00:00,Tepper,David,President and Founder,4/4/2023 5:01,Florida,South,1957.0,9.0,11.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
89,18500,Energy,Gennady Timchenko,71,Russia,Moscow,"Oil, gas",Energy,Russia,,True,U,M,1952-11-09 00:00:00,Timchenko,Gennady,,4/4/2023 5:01,,,1952.0,11.0,9.0,180.75,4.5,-2147483648,82,103,72.7,11.4,47,144373535
92,18000,Finance & Investments,Daniel Gilbert,61,United States,Franklin,Quicken Loans,Finance & Investments,United States,,True,D,M,1962-01-17 00:00:00,Gilbert,Daniel,,4/4/2023 5:01,Michigan,Midwest,1962.0,1.0,17.0,117.24,7.5,-2147483648,89,102,78.5,9.6,37,328239523
93,17700,Metals & Mining,Lakshmi Mittal,73,United Kingdom,London,Steel,Metals & Mining,India,ArcelorMittal (ADR),False,D,M,1950-06-15 00:00:00,Mittal,Lakshmi,Chairman and CEO,4/4/2023 5:01,,,1950.0,6.0,15.0,119.62,1.7,-2147483648,60,102,81.3,25.5,31,66834405
